sport,sex,height_cm,weight_kg,cluster_women,cluster_men,cluster_combined,dominant_sport_women,dominant_sport_men,dominant_sport_combined
volleyball,M,186.0,80.0,,3.0,3.0,,track_field,swimming
volleyball,M,191.0,84.0,,3.0,3.0,,track_field,swimming
volleyball,M,193.0,90.0,,1.0,4.0,,volleyball,basketball
volleyball,M,192.0,85.0,,3.0,3.0,,track_field,swimming
volleyball,M,194.0,88.0,,1.0,4.0,,volleyball,basketball
volleyball,M,190.0,92.0,,3.0,4.0,,track_field,basketball
volleyball,M,202.0,95.0,,1.0,4.0,,volleyball,basketball
volleyball,M,197.0,89.0,,1.0,4.0,,volleyball,basketball
volleyball,M,188.0,85.0,,3.0,3.0,,track_field,swimming
volleyball,M,201.0,85.0,,1.0,4.0,,volleyball,basketball
volleyball,M,194.0,95.0,,1.0,4.0,,volleyball,basketball
volleyball,M,202.0,92.0,,1.0,4.0,,volleyball,basketball
volleyball,M,200.0,85.0,,1.0,4.0,,volleyball,basketball
volleyball,M,198.0,92.0,,1.0,4.0,,volleyball,basketball
volleyball,M,190.0,76.0,,3.0,3.0,,track_field,swimming
volleyball,M,202.0,94.0,,1.0,4.0,,volleyball,basketball
volleyball,M,202.0,86.0,,1.0,4.0,,volleyball,basketball
volleyball,M,198.0,88.0,,1.0,4.0,,volleyball,basketball
volleyball,M,196.0,80.0,,1.0,3.0,,volleyball,swimming
volleyball,M,206.0,110.0,,1.0,4.0,,volleyball,basketball
volleyball,M,201.0,95.0,,1.0,4.0,,volleyball,basketball
volleyball,M,209.0,90.0,,1.0,4.0,,volleyball,basketball
volleyball,M,198.0,93.0,,1.0,4.0,,volleyball,basketball
weightlifting,M,174.0,81.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,165.0,69.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,170.0,73.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,167.0,77.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,168.0,67.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,181.0,110.0,,3.0,0.0,,track_field,weightlifting
weightlifting,M,170.0,77.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,181.0,125.0,,2.0,0.0,,weightlifting,weightlifting
weightlifting,M,175.0,85.0,,3.0,2.0,,track_field,gymnastics
weightlifting,M,170.0,69.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,164.0,69.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,182.0,105.0,,3.0,0.0,,track_field,weightlifting
weightlifting,M,170.0,69.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,180.0,94.0,,3.0,3.0,,track_field,swimming
weightlifting,M,168.0,73.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,170.0,82.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,180.0,110.0,,3.0,0.0,,track_field,weightlifting
weightlifting,M,173.0,85.0,,3.0,2.0,,track_field,gymnastics
weightlifting,M,180.0,93.0,,3.0,3.0,,track_field,swimming
weightlifting,M,175.0,85.0,,3.0,2.0,,track_field,gymnastics
weightlifting,M,150.0,56.0,,0.0,1.0,,weightlifting,distance_running
weightlifting,M,147.0,62.0,,0.0,1.0,,weightlifting,distance_running
weightlifting,M,174.0,104.0,,3.0,0.0,,track_field,weightlifting
weightlifting,M,172.0,81.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,186.0,152.0,,2.0,0.0,,weightlifting,weightlifting
weightlifting,M,197.0,33.190983420597085,,0.0,1.0,,weightlifting,distance_running
weightlifting,M,197.0,183.0,,2.0,0.0,,weightlifting,weightlifting
weightlifting,M,168.0,82.0,,0.0,2.0,,weightlifting,gymnastics
weightlifting,M,185.0,160.0,,2.0,0.0,,weightlifting,weightlifting
weightlifting,M,160.0,52.0,,0.0,1.0,,weightlifting,distance_running
