sport,height_cm,weight_kg,bmi,position,Player,height,weight,Wingspan,Hand Length,Hand Width,source_file,processed_date,Sex,Arm Span,Leg Length,Torso Length,Spike Reach,Block Reach,height_weight_ratio,weight_height_ratio,arm_span,arm_span_ratio,leg_length,leg_length_ratio,torso_length,torso_length_ratio,size_category,build_category,proportions_category,weighted_height_cm,weighted_weight_kg,weighted_bmi,weighted_height_weight_ratio,weighted_weight_height_ratio,weighted_arm_span_ratio,weighted_leg_length_ratio,weighted_torso_length_ratio,weighted_size_category,weighted_build_category,weighted_proportions_category,cluster
rowing,182.0,75.0,22.6421929718633,ROWER,Kerri Gowler,182 cm,75 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.4266666666666667,0.41208791208791207,,,,,,,4.0,4.0,1.0,182.0,75.0,33.96328945779495,4.8533333333333335,0.6181318681318682,,,,4.0,4.0,1.0,0
rowing,177.0,76.0,24.258674071946118,ROWER,Viorica Neculai,177 cm,76 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.3289473684210527,0.4293785310734463,,,,,,,3.0,4.0,1.0,177.0,76.0,36.388011107919176,4.657894736842105,0.6440677966101694,,,,3.0,4.0,1.0,0
rowing,181.0,74.0,22.587833094227893,ROWER,Kim Brennan,181 cm,74 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.445945945945946,0.4088397790055249,,,,,,,4.0,4.0,1.0,181.0,74.0,33.88174964134184,4.891891891891892,0.6132596685082873,,,,4.0,4.0,1.0,0
rowing,182.0,70.0,21.132713440405748,ROWER,Katherine Grainger,182 cm,70 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.6,0.38461538461538464,,,,,,,4.0,2.0,2.0,182.0,70.0,31.69907016060862,5.2,0.576923076923077,,,,4.0,2.0,2.0,0
rowing,178.0,70.0,22.093170054286073,ROWER,Helen Glover,178 cm,70 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.5428571428571427,0.39325842696629215,,,,,,,3.0,3.0,1.0,178.0,70.0,33.13975508142911,5.085714285714285,0.5898876404494382,,,,3.0,3.0,1.0,0
rowing,178.0,70.0,22.093170054286073,ROWER,Heather Stanning,178 cm,70 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.5428571428571427,0.39325842696629215,,,,,,,3.0,3.0,1.0,178.0,70.0,33.13975508142911,5.085714285714285,0.5898876404494382,,,,3.0,3.0,1.0,0
rowing,186.0,76.0,21.967857555786793,ROWER,Georgina Rowe,186 cm,76 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.4473684210526314,0.40860215053763443,,,,,,,4.0,3.0,1.0,186.0,76.0,32.95178633368019,4.894736842105263,0.6129032258064516,,,,4.0,3.0,1.0,0
tennis,176.0,63.0,20.33832644628099,TENNIS,Iga Świątek,176 cm,63 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.7936507936507935,0.35795454545454547,,,,,,,3.0,2.0,3.0,176.0,63.0,30.50748966942149,5.587301587301587,0.5369318181818182,,,,3.0,2.0,3.0,0
tennis,183.0,77.0,22.99262444384723,TENNIS,Aryna Sabalenka,183 cm,77 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.3766233766233764,0.4207650273224044,,,,,,,4.0,4.0,1.0,183.0,77.0,34.488936665770844,4.753246753246753,0.6311475409836066,,,,4.0,4.0,1.0,0
tennis,181.0,70.0,21.36686914318855,TENNIS,Barbora Krejčíková,181 cm,70 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.585714285714286,0.3867403314917127,,,,,,,4.0,3.0,2.0,181.0,70.0,32.05030371478282,5.171428571428572,0.580110497237569,,,,4.0,3.0,2.0,0
tennis,180.0,65.0,20.061728395061728,TENNIS,Coco Gauff,180 cm,65 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.769230769230769,0.3611111111111111,,,,,,,4.0,1.0,2.0,180.0,65.0,30.09259259259259,5.538461538461538,0.5416666666666666,,,,4.0,1.0,2.0,0
tennis,183.0,70.0,20.902385858042937,TENNIS,Elena Rybakina,183 cm,70 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.6142857142857143,0.3825136612021858,,,,,,,4.0,2.0,2.0,183.0,70.0,31.353578787064407,5.228571428571429,0.5737704918032787,,,,4.0,2.0,2.0,0
tennis,175.0,68.0,22.20408163265306,TENNIS,Jessica Pegula,175 cm,68 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.573529411764706,0.38857142857142857,,,,,,,3.0,3.0,2.0,175.0,68.0,33.30612244897959,5.147058823529412,0.5828571428571429,,,,3.0,3.0,2.0,0
tennis,168.0,59.0,20.904195011337873,TENNIS,Simona Halep,168 cm,59 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.847457627118644,0.35119047619047616,,,,,,,3.0,2.0,3.0,168.0,59.0,31.356292517006807,5.694915254237288,0.5267857142857142,,,,3.0,2.0,3.0,0
tennis,182.0,70.0,21.132713440405748,TENNIS,Petra Kvitová,182 cm,70 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.6,0.38461538461538464,,,,,,,4.0,2.0,2.0,182.0,70.0,31.69907016060862,5.2,0.576923076923077,,,,4.0,2.0,2.0,0
tennis,167.0,60.0,21.513858510523864,TENNIS,Ons Jabeur,167 cm,60 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.783333333333333,0.3592814371257485,,,,,,,2.0,3.0,3.0,167.0,60.0,32.2707877657858,5.566666666666666,0.5389221556886228,,,,2.0,3.0,3.0,0
tennis,180.0,69.0,21.296296296296294,TENNIS,Naomi Osaka,180 cm,69 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.608695652173913,0.38333333333333336,,,,,,,4.0,3.0,2.0,180.0,69.0,31.944444444444443,5.217391304347826,0.5750000000000001,,,,4.0,3.0,2.0,0
track_field,168.0,60.0,21.258503401360546,SPRINTER,Blessing Okagbare,168 cm,60 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.8,0.35714285714285715,,,,,,,3.0,2.0,3.0,168.0,60.0,31.88775510204082,5.6,0.5357142857142857,,,,3.0,2.0,3.0,0
track_field,170.0,60.0,20.761245674740486,SPRINTER,Sha'Carri Richardson,170 cm,60 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.8333333333333335,0.35294117647058826,,,,,,,3.0,2.0,3.0,170.0,60.0,31.14186851211073,5.666666666666667,0.5294117647058824,,,,3.0,2.0,3.0,0
track_field,166.0,58.0,21.04804761213529,SPRINTER,Marie-Josee Ta Lou,166 cm,58 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.8620689655172415,0.3493975903614458,,,,,,,2.0,2.0,3.0,166.0,58.0,31.57207141820293,5.724137931034483,0.5240963855421688,,,,2.0,2.0,3.0,0
track_field,152.0,52.0,22.506925207756233,SPRINTER,Shelly-Ann Fraser,152 cm,52 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.923076923076923,0.34210526315789475,,,,,,,1.0,4.0,3.0,152.0,52.0,33.760387811634345,5.846153846153846,0.5131578947368421,,,,1.0,4.0,3.0,0
track_field,165.0,59.0,21.6712580348944,SPRINTER,Carmelita Jeter,165 cm,59 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.7966101694915255,0.3575757575757576,,,,,,,2.0,3.0,3.0,165.0,59.0,32.5068870523416,5.593220338983051,0.5363636363636364,,,,2.0,3.0,3.0,0
track_field,167.0,64.0,22.948115744558788,SPRINTER,Dina Asher-Smith,167 cm,64 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.609375,0.38323353293413176,,,,,,,2.0,4.0,2.0,167.0,64.0,34.42217361683818,5.21875,0.5748502994011977,,,,2.0,4.0,2.0,0
track_field,170.0,60.0,20.761245674740486,SPRINTER,Merlene Ottey,170 cm,60 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.8333333333333335,0.35294117647058826,,,,,,,3.0,2.0,3.0,170.0,60.0,31.14186851211073,5.666666666666667,0.5294117647058824,,,,3.0,2.0,3.0,0
track_field,170.0,64.0,22.145328719723185,HURDLER,Tobi Amusan,170 cm,64 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.65625,0.3764705882352941,,,,,,,3.0,3.0,2.0,170.0,64.0,33.21799307958478,5.3125,0.5647058823529412,,,,3.0,3.0,2.0,0
track_field,168.0,,,SPRINTER,Julien Alfred,168 cm,,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,,,,,,,,,3.0,,,168.0,,,,,,,,3.0,,,0
track_field,168.0,60.0,21.258503401360546,SPRINTER,Tori Bowie,168 cm,60 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.8,0.35714285714285715,,,,,,,3.0,2.0,3.0,168.0,60.0,31.88775510204082,5.6,0.5357142857142857,,,,3.0,2.0,3.0,0
track_field,168.0,63.0,22.321428571428577,SPRINTER,Elaine Thompson-Herah,168 cm,63 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.6666666666666665,0.375,,,,,,,3.0,3.0,2.0,168.0,63.0,33.48214285714286,5.333333333333333,0.5625,,,,3.0,3.0,2.0,0
track_field,152.0,52.0,22.506925207756233,SPRINTER,Shelly-Ann Fraser-Pryce,152 cm,52 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.923076923076923,0.34210526315789475,,,,,,,1.0,4.0,3.0,152.0,52.0,33.760387811634345,5.846153846153846,0.5131578947368421,,,,1.0,4.0,3.0,0
